lender_id,country_code,uid,occupation,loan_count,member_since_date
scott1386,US,scott1386,IT Professional,1,7/2/2008
susan8983,CA,susan8983,Librarian,2,7/3/2008
lauren6712,AU,lauren6712,NA,0,7/3/2008
brian6109,NA,brian6109,student,4,7/3/2008
Jun-41,NA,Jun-41,manager,0,7/3/2008
chris9450,US,chris9450,Sales/Marketing,0,7/3/2008
jan1698,GB,jan1698,self-employed,48,7/3/2008
lina7841,NA,lina7841,librarian,3,7/4/2008
april1364,NA,april1364,NA,1,7/4/2008
omar1657,US,omar1657,Person of the World,40,7/5/2008
Tzedakahman,US,tzedakahman,creative production,2,7/5/2008
anton8174,NA,anton8174,wiraswasta,0,7/5/2008
jessica2597,US,jessica2597,student,10,7/5/2008
alex5466,SG,alex5466,Programmer,28,7/6/2008
michael6358,NA,michael6358,NA,0,7/6/2008
michielvandijk,NL,michielvandijk,lawyer and policy advisor,25,7/6/2008
julie82999370,US,julie82999370,CPA,1,7/7/2008
ricky7507,AU,ricky7507,Customs broker,42,7/7/2008
fodaym1501,NA,fodaym1501,Field Coordinator,0,7/7/2008
anastasia6622,US,anastasia6622,NA,3,7/7/2008
julie3697,US,julie3697,NA,0,7/7/2008
maryjo9320,NA,maryjo9320,"Adminsitration, HR",0,7/7/2008
linda5704,CA,linda5704,naturalist,69,7/7/2008
katiejerdee,US,katiejerdee,Financial Analyst,7,7/7/2008
brett4658,US,brett4658,Veterinary Pathologist,19,7/8/2008
gwen6910,US,gwen6910,NA,3,7/8/2008
mary2871,US,mary2871,NA,5,7/8/2008
danielle9147,NA,danielle9147,NA,0,7/8/2008
jonathan8079,GB,jonathan8079,Banker,2,7/8/2008
tom1760,US,tom1760,NA,12,7/8/2008
nqocie,US,nqocie,Underwriter,68,7/9/2008
aimee2913,US,aimee2913,music teacher,7,7/9/2008
robertchriss,US,robertchriss,Student,4,7/9/2008
monika4375,DE,monika4375,Dentist,2,7/9/2008
yvonne3992,US,yvonne3992,NA,3,7/10/2008
thonika1198,US,thonika1198,day_dreamer,3,7/10/2008
kim34966865,NA,kim34966865,nurse,0,7/10/2008
bintari3076,US,bintari3076,Crisis Counselor/Teacher,3,7/10/2008
heatherandsean8175,US,heatherandsean8175,Recruiter and Analyst,9,7/10/2008
anne1799,NA,anne1799,teacher,0,7/10/2008
rae7975,US,rae7975,US Air Force,7,7/10/2008
olin4041,NA,olin4041,System Administrator,0,7/11/2008
johnmark8169,US,johnmark8169,Dancer,3,7/11/2008
adrienne9495,NA,adrienne9495,NA,0,7/11/2008
mark36672011,GB,mark36672011,Managing Director,33,7/11/2008
elyse5784,US,elyse5784,writer,1,7/11/2008
katherine5007,NA,katherine5007,NA,1,7/12/2008
doris2424,NA,doris2424,NA,0,7/12/2008
courtneyandmaddy5393,NA,courtneyandmaddy5393,students,0,7/12/2008
karen13486171,US,karen13486171,MiLTARY WiFE & MAKE-UP ARTIST,1,7/12/2008
diane9180,NA,diane9180,NA,5,7/13/2008
marissa7928,NA,marissa7928,NA,1,7/13/2008
simone2650,DE,simone2650,NA,6,7/13/2008
rabia3153,NA,rabia3153,lecturer as well as student,0,7/13/2008
terry4696,US,terry4696,Filmmaker,49,7/13/2008
jojo1973,NA,jojo1973,Entrepreneur,0,7/14/2008
cara8820,NA,cara8820,NA,1,7/14/2008
gordon9546,GB,gordon9546,NA,4,7/15/2008
alpha4496,US,alpha4496,policy,2,7/15/2008
sandra8424,US,sandra8424,NA,28,7/15/2008
donald8734,NA,donald8734,I Banker,0,7/15/2008
doug8856,NA,doug8856,ag sales,2,7/16/2008
merril8099,AU,merril8099,teacher,2,7/16/2008
greg9921,NA,greg9921,NA,0,7/16/2008
rebecca8532,US,rebecca8532,archivist,41,7/16/2008
olivia6379,NA,olivia6379,Medical Doctor,0,7/16/2008
holly6490,NA,holly6490,student,1,7/16/2008
tammy3815,US,tammy3815,NA,34,7/17/2008
lemuel4346,US,lemuel4346,Public Health,4,7/17/2008
jack2501,NA,jack2501,NA,2,7/17/2008
megan4862,AU,megan4862,NA,12,7/17/2008
kathy3533,NA,kathy3533,NA,0,7/17/2008
sara6525,US,sara6525,Education Consultant,0,7/18/2008
richard8961,NA,richard8961,Businessman,0,7/18/2008
ola4399,SE,ola4399,Research Scientist,9,7/18/2008
anne3684,FR,anne3684,entrepreneur,3,7/18/2008
carolyn2120,US,carolyn2120,Senior Benefits Analyst,7,7/18/2008
lisa7936,US,lisa7936,Social Worker and Advocate,1,7/18/2008
john5336,US,john5336,retired,6,7/19/2008
maria1978,US,maria1978,Office Adimin.,43,7/19/2008
gracie4074,US,gracie4074,student,2,7/19/2008
joan2154,US,joan2154,Retired,15,7/20/2008
farha4150,NA,farha4150,NA,2,7/20/2008
maria1320,NA,maria1320,NA,10,7/20/2008
alexis4274,US,alexis4274,NA,2,7/20/2008
joachim6772,DE,joachim6772,NA,16,7/20/2008
lou9326,NA,lou9326,Insurance,5,7/20/2008
rachael1889,US,rachael1889,teacher,5,7/21/2008
paul9550,US,paul9550,Electrical Contractor,47,7/21/2008
thomas6012,US,thomas6012,Consultant,79,7/21/2008
mark5642,US,mark5642,dreamer,4,7/21/2008
robert7165,DE,robert7165,NA,0,7/21/2008
katie2153,NA,katie2153,Student,0,7/22/2008
maddie4718,NA,maddie4718,student,8,7/22/2008
gordon6198,US,gordon6198,student,3,7/22/2008
susannah3763,NA,susannah3763,NA,1,7/22/2008
