"","institution","city","state","yearly","tuition_in","tuition_out","region"
"267","University of North Carolina Wilmington","Wilmington","NC",18165,6343,18480,"NA"
"268","University of North Carolina at Pembroke","Pembroke","NC",15784,5144,14351,"NA"
"269","Winston-Salem State University","Winston-Salem","NC",15990,5468,14281,"NA"
"270","Western Carolina University","Cullowhee","NC",17805,6265,15862,"NA"
"271","Minot State University","Minot","ND",14549,6086,6086,"NA"
"272","University of North Dakota","Grand Forks","ND",20538,7508,17794,"NA"
"273","North Dakota State University-Main Campus","Fargo","ND",18277,7660,18242,"NA"
"274","Valley City State University","Valley City","ND",16086,6516,14596,"NA"
"275","Chadron State College","Chadron","NE",15402,5600,5630,"NA"
"276","University of Nebraska at Kearney","Kearney","NE",19212,6542,12370,"NA"
"277","University of Nebraska at Omaha","Omaha","NE",16860,6550,16890,"NA"
"278","University of Nebraska-Lincoln","Lincoln","NE",21024,8060,21388,"NA"
"279","Peru State College","Peru","NE",15207,6188,6188,"NA"
"280","Wayne State College","Wayne","NE",15002,5574,9774,"NA"
"281","University of New Hampshire-Main Campus","Durham","NH",29520,16496,29216,"NA"
"282","Keene State College","Keene","NH",24614,12776,20161,"NA"
"283","Plymouth State University","Plymouth","NH",24828,12610,20030,"NA"
"284","Granite State College","Concord","NH",17576,7065,7545,"NA"
"285","Rowan University","Glassboro","NJ",26970,12380,20186,"NA"
"286","New Jersey City University","Jersey City","NJ",19058,10653,19065,"NA"
"287","Kean University","Union","NJ",19462,10918,17141,"NA"
"288","Montclair State University","Montclair","NJ",22773,11318,20196,"NA"
"289","New Jersey Institute of Technology","Newark","NJ",26700,15218,28274,"NA"
"290","Ramapo College of New Jersey","Mahwah","NJ",27781,13388,22038,"NA"
"291","Rutgers University-Camden","Camden","NJ",22048,13348,26908,"NA"
"292","Rutgers University-New Brunswick","New Brunswick","NJ",28011,13499,27523,"NA"
"293","Rutgers University-Newark","Newark","NJ",22046,12998,27022,"NA"
"294","The Richard Stockton College of New Jersey","Galloway","NJ",26086,12322,18715,"NA"
"295","The College of New Jersey","Ewing","NJ",28943,14730,25135,"NA"
"296","William Paterson University of New Jersey","Wayne","NJ",21990,11918,19458,"NA"
"297","Eastern New Mexico University-Main Campus","Portales","NM",15021,4558,10069,"NA"
"298","New Mexico Highlands University","Las Vegas","NM",15611,4000,6382,"NA"
"299","New Mexico Institute of Mining and Technology","Socorro","NM",17600,5714,17073,"NA"
"300","University of New Mexico-Main Campus","Albuquerque","NM",16822,6846,20688,"NA"
"301","New Mexico State University-Main Campus","Las Cruces","NM",17290,6220,19644,"NA"
"302","Western New Mexico University","Silver City","NM",15121,4723,12763,"NA"
"303","University of Nevada-Las Vegas","Las Vegas","NV",17478,6690,20600,"NA"
"304","University of Nevada-Reno","Reno","NV",21398,6610,20520,"NA"
